kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Delitzsch,Russische,8,8,0,0,0,0,51.52557,12.34286,Rotterdam (1)
Werdau,Russische,8,8,0,0,0,0,50.73614,12.37638,Amsterdam (1); 's-Gravenhage (1); Dordrecht (1)
Dippoldiswalde,Russische,8,8,0,0,0,0,50.89505,13.66333,Sneek (1)
Wesendorf,Russische,8,8,0,0,0,0,52.59295,10.53474,Hilversum (2); Amsterdam (2); 's-Gravenhage (2)
Kemnath,Amerikaanse,8,8,0,0,0,0,49.85812,11.93552,Rheden (7)
Stralsund,Russische,8,8,0,0,0,0,54.30963,13.08208,Dordrecht (2); Leiden (1); Utrecht (1)
Rockenhausen,Franse,7,7,0,0,0,0,49.62903,7.82065,Hennaarderadeel (1)
Land Hadeln,Engelse,7,7,0,0,0,0,53.73717,8.93301,Den Helder (1); Harenkarspel (1); Zutphen (1)
Öhringen,Amerikaanse,7,7,0,0,0,0,49.2005,9.50244,Assen (1)
Montabaur,Franse,6,6,0,0,0,0,50.43622,7.83025,Dordrecht (2); Hilversum (2)
Diez,Franse,6,6,0,0,0,0,50.36942,8.01745,Haarlem (4)
Westhavelland,Russische,5,5,0,0,0,0,52.67037,12.43219,Rotterdam (2); Amsterdam (1)
Kolmar,Franse,5,5,0,0,0,0,52.51301,13.38049,Amsterdam (3); Hoensbroek (2)
Weisswasser,Russische,4,4,0,0,0,0,51.50543,14.63818,Zeist (1)
St. Wendel,Franse,4,4,0,0,0,0,49.46699,7.16962,Vlaardingen (1); Rotterdam (1); Maassluis (1)
Weissenfels,Russische,4,4,0,0,0,0,51.19998,11.96679,
Eckartsberga,Russische,4,4,0,0,0,0,51.12319,11.56041,Vorden (1); Rotterdam (1); Gouda (1)
Rügen,Russische,3,3,0,0,0,0,54.4529,13.38823,Utrecht (1); Kruiningen (1)
Ostprignitz,Russische,3,3,0,0,0,0,53.00106,12.70337,
Weissensee,Russische,3,3,0,0,0,0,52.55462,13.463,
Görlitz,Russische,3,3,0,0,0,0,51.15632,14.99102,Zwolle (1); Groningen (1)
Guben,Russische,3,3,0,0,0,0,51.95032,14.71536,
Memmingen Zijn Begraven,,2,0,2,0,0,0,47.98162,10.16873,
Malchin,Russische,2,2,0,0,0,0,53.73826,12.76442,Stolwijk (1)
Liebenwerda,Russische,2,2,0,0,0,0,51.52102,13.363,
Prenzlau,Russische,1,1,0,0,0,0,53.3167,13.86657,Leiden (1)
Marienburg,Engelse,1,1,0,0,0,0,50.90149,6.97746,
Jessen,Russische,1,1,0,0,0,0,51.79312,12.95907,
